"Date","Location","City","Region","Title","Amount","Department","Views","Trans_details"
"November 03, 2015","Abohar                       , Punjab","Abohar","Puducherry","I Paid Rs. 788 to Municipal Services in Abohar.",788,"Municipal Services",13,"Birth Certificate"
"November 03, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","LAKSHMINARAYAN THE MOST CORRUPT IN KARNATAKA STATE POLLUTION CONTROL BOARD",25000,"Others",16,"Others"
"November 03, 2015","New Delhi                       , Delhi","New Delhi","Delhi","Paid Bribe to Get Degree",20000,"Education",24,"School or College Related Activities"
"November 03, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 20 to Municipal Services in Abhayapuri.",20,"Municipal Services",17,"Birth Certificate"
"November 03, 2015","Nagpur                       , Maharashtra","Nagpur","Maharashtra","I Paid Rs. 15000 to Stamps and Registration in Nagpur.",15000,"Stamps and Registration",25,"Marriage Certificate"
"November 03, 2015","Solapur                       , Maharashtra","Solapur","Maharashtra","I Paid Rs. 111 to Municipal Services in Solapur.",111,"Municipal Services",22,"Birth Certificate"
"November 03, 2015","Almora                       , Uttarakhand","Almora","Uttarakhand","I Paid Rs. 344 to Municipal Services in Almora.",344,"Municipal Services",20,"Birth Certificate"
"November 03, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","Paid Bribe for Borewell drilling in Bangalore",3700,"Water and Sewage",21,"Water Connection under Sajala"
"November 03, 2015","Abohar                       , Punjab","Abohar","Punjab","I Paid Rs. 111 to Municipal Services in Abohar.",111,"Municipal Services",22,"Birth Certificate"
"November 03, 2015","Mumbai                       , Maharashtra","Mumbai","Maharashtra","I Paid Rs. 1 to Municipal Services in Mumbai.",1,"Municipal Services",22,"Birth Certificate"
"November 03, 2015","Thane                       , Maharashtra","Thane","Maharashtra","I Paid Rs. 5000 to Police in Thane.",5000,"Police",26,"Filing FIR"
"November 03, 2015","Lucknow                       , Uttar Pradesh","Lucknow","Uttar Pradesh","I Paid Rs. 500 to Municipal Services in Lucknow.",500,"Municipal Services",26,"Birth Certificate"
"November 03, 2015","Mumbai                       , Maharashtra","Mumbai","Maharashtra","I Paid Rs. 100 to Municipal Services in Mumbai.",100,"Municipal Services",30,"Birth Certificate"
"November 03, 2015","Hazaribagh                       , Jharkhand","Hazaribagh","Jharkhand","I Paid Rs. 1000 to Police in Hazaribagh.",1000,"Police",39,"Traffic Violations"
"November 03, 2015","Abohar                       , Punjab","Abohar","Punjab","I Paid Rs. 50000 to Food, Civil Supplies and Consumer Affairs in Abohar.",50000,"Food, Civil Supplies and Consumer Affairs",56,"Issue of Ration Card"
"November 03, 2015","Kolkata                       , West Bengal","Kolkata","West Bengal","I Paid Rs. 500000 to Commercial Tax, Sales Tax, VAT in Kolkata.",5e+05,"Commercial Tax, Sales Tax, VAT",93,"C Form"
"November 02, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","Bribe for passport verification",200,"Police",116,"Police Verification for Passport"
"November 02, 2015","Adari                       , Uttar Pradesh","Adari","Uttar Pradesh","I Paid Rs. 2 to Police in Adari.",2,"Police",132,"Filing FIR"
"November 02, 2015","Chandigarh                       , Chandigarh","Chandigarh","Chandigarh","I Paid Rs. 10000 to Railways in Chandigarh.",10000,"Railways",151,"Transport of Goods"
"November 02, 2015","New Delhi                       , Delhi","New Delhi","Delhi","Asked bribe at the heart of Delhi by traffic police",600,"Police",150,"Traffic Violations"
"November 02, 2015","Durgapur                       , West Bengal","Durgapur","West Bengal","I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Durgapur.",100,"Commercial Tax, Sales Tax, VAT",141,"C Form"
"November 02, 2015","Pune                       , Maharashtra","Pune","Maharashtra","I Paid Rs. 20 to Others in Pune.",20,"Others",138,"Others"
"November 02, 2015","Mumbai                       , Maharashtra","Mumbai","Maharashtra","I Paid Rs. 1200 to Others in Mumbai.",1200,"Others",137,"Others"
"November 02, 2015","Itanagar                       , Arunachal Pradesh","Itanagar","Arunachal Pradesh","I Paid Rs. 100 to Municipal Services in Itanagar.",100,"Municipal Services",120,"Birth Certificate"
"November 02, 2015","Vidisha                       , Madhya Pradesh","Vidisha","Madhya Pradesh","I Paid Rs. 464001 to Municipal Services in Vidisha.",464001,"Municipal Services",125,"Birth Certificate"
"November 02, 2015","Alipurduar                       , West Bengal","Alipurduar","West Bengal","I Paid Rs. 120200 to Transport in Alipurduar.",120200,"Transport",164,"Registration of Vehicle"
"November 02, 2015","Kochi                       , Kerala","Kochi","Kerala","I Paid Rs. 1200 to Municipal Services in Kochi.",1200,"Municipal Services",177,"Birth Certificate"
"November 02, 2015","Mahesana                       , Gujarat","Mahesana","Gujarat","I Paid Rs. 10000 to Police in Mahesana.",10000,"Police",169,"Traffic Violations"
"November 02, 2015","Pune                       , Maharashtra","Pune","Maharashtra","I Paid Rs. 200 to Income Tax in Pune.",200,"Income Tax",173,"New PAN Card"
